record_id,source_table,image_url,human_calculated_rating,human_rating_count,a_provider,a_model,a_quality,a_is_sunset,a_confidence,a_has_clouds,a_color_palette,a_obstruction,a_error,b_provider,b_model,b_quality,b_is_sunset,b_confidence,b_has_clouds,b_color_palette,b_obstruction,b_error,delta_quality,rated_at
66407,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/609/1764120749296.jpg,5.00,1,anthropic,claude-haiku-4-5,0.65,True,0.85,True,warm golden and orange tones with peachy hues transitioning to pale blue sky,,,anthropic,claude-sonnet-4-5,0.55,True,0.85,False,warm orange and peach tones fading to pale blue-gray,,,0.09999999999999998,2026-05-04T06:11:47.820188+00:00
67001,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11458/1770427608574.jpg,1.00,1,anthropic,claude-haiku-4-5,0.0,False,0.95,False,"gray, overcast, neutral",fog,,anthropic,claude-sonnet-4-5,0.0,False,0.95,False,"overcast gray, no visible sky colors",fog,,0.0,2026-05-04T06:11:47.820719+00:00
68991,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1946/1770874167246.jpg,,0,anthropic,claude-haiku-4-5,0.0,False,0.95,True,"Gray and blue with white clouds, daytime overcast conditions",,,anthropic,claude-sonnet-4-5,0.0,False,0.95,False,pale gray-blue overcast sky,,,0.0,2026-05-04T06:11:47.820748+00:00
69585,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/544/1770982249296.jpg,,0,anthropic,claude-haiku-4-5,0.35,True,0.75,True,Deep blue and purple twilight tones with muted gray clouds,,,anthropic,claude-sonnet-4-5,0.25,True,0.75,False,muted blue-gray with subtle orange-pink tones near horizon,,,0.09999999999999998,2026-05-04T06:11:47.820771+00:00
70179,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4443/1771097748949.jpg,,0,anthropic,claude-haiku-4-5,0.65,True,0.85,True,"Golden orange and warm amber tones with pale yellow sky, transitioning to light blue",,,anthropic,claude-sonnet-4-5,0.45,True,0.85,False,"pale yellow, soft orange, light blue gradient",,,0.2,2026-05-04T06:11:47.820798+00:00
70774,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/536/1771218229354.jpg,,0,anthropic,claude-haiku-4-5,0.45,True,0.75,True,pale orange and gray with muted golden tones,,,anthropic,claude-sonnet-4-5,0.25,True,0.8,True,pale blue and gray with faint yellow-orange glow on horizon,,,0.2,2026-05-04T06:11:47.820830+00:00
71368,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/308/1771340031053.jpg,,0,anthropic,claude-haiku-4-5,0.0,False,0.95,True,"gray, white, muted",fog,,anthropic,claude-sonnet-4-5,0.0,False,0.95,False,"gray, overcast, monochromatic",fog,,0.0,2026-05-04T06:11:47.820862+00:00
71962,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1725339/1771459370474.jpg,,0,anthropic,claude-haiku-4-5,0.0,False,0.95,False,bright white and light gray,,,anthropic,claude-sonnet-4-5,0.0,False,0.95,False,overcast gray-white,,,0.0,2026-05-04T06:11:47.820893+00:00
72556,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12182/1771595088845.jpg,,0,anthropic,claude-haiku-4-5,0.0,False,0.99,False,dark gray to black with artificial lighting,,,anthropic,claude-sonnet-4-5,0.0,False,1.0,False,black night sky with artificial lighting,,,0.0,2026-05-04T06:11:47.820921+00:00
73150,webcam,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/137/1771738548862.jpg,,0,anthropic,claude-haiku-4-5,0.0,False,0.95,False,dark blue/black night sky,,,anthropic,claude-sonnet-4-5,0.0,False,1.0,False,dark night sky with artificial lighting,,,0.0,2026-05-04T06:11:47.820941+00:00
